13726,120513,1725541988
13726,120520,1725543099
13726,120812,1725626514
13726,120814,1725626810
13726,120816,1725627118
13726,120832,1725630163
13726,120836,1725631407
13726,120845,1725632389
13726,120855,1725634134
13726,120864,1725635219
13726,120889,1725639695
13726,120903,1725641244
13726,120904,1725641285
13726,120912,1725642524
13726,120914,1725642841
13726,120915,1725642865
13726,120916,1725642927
13726,120919,1725643459
13726,120921,1725643487
13726,120928,1725643999
13726,120930,1725644074
13726,120939,1725644353
13726,120949,1725645806
13726,121179,1725712745
13726,122587,1725997269
13726,122588,1725997502
13726,122589,1725997545
13726,122591,1725997851
13726,122593,1725997988
13726,122596,1725998143
13726,122597,1725998232
13726,122598,1725998233
13726,122600,1725998302
13726,122605,1725999047
13726,122606,1725999074
13726,122607,1725999147
13726,122609,1725999456
13726,122610,1725999490
13726,122613,1725999809
13726,122614,1725999964
13726,122618,1726000872
13726,122619,1726000925
13726,122620,1726001142
13726,122622,1726001180
13726,122624,1726001444
13726,122625,1726001550
13726,122626,1726001823
13726,122627,1726001892
13726,122629,1726002564
13726,122631,1726002804
13726,122635,1726003387
13726,122646,1726004418
13726,122647,1726004577
13726,122655,1726006577
13726,122675,1726010737
13726,122702,1726015443
13726,122730,1726017805
13726,122731,1726017830
13726,122815,1726047258
13726,122828,1726050699
13726,122848,1726053218
13726,123067,1726079801
13726,123069,1726079829
13726,123075,1726080622
13726,123076,1726080645
13726,123077,1726080862
13726,123078,1726081090
13726,123081,1726081342
13726,123378,1726142047
13726,123386,1726143535
13726,123387,1726143726
13726,123389,1726144000
13726,123390,1726144080
13726,123391,1726144204
13726,123393,1726144299
13726,123395,1726144530
13726,123396,1726144555
13726,123398,1726144709
13726,123400,1726144786
13726,123401,1726144865
13726,123402,1726144936
13726,123405,1726145007
13726,123406,1726145073
13726,123408,1726145173
13726,123410,1726145331
13726,123412,1726145402
13726,123414,1726145544
13726,123416,1726145604
13726,123417,1726145691
13726,123419,1726145774
13726,123421,1726145845
13726,123422,1726145926
13726,123423,1726145999
13726,123426,1726146087
13726,123427,1726146162
13726,123459,1726150871
13726,123460,1726150979
13726,123461,1726151073
13726,123463,1726151151
13726,123467,1726151357
13726,123468,1726151437
13726,123469,1726151523
13726,123471,1726151645
13726,123473,1726151719
13726,123474,1726151766
13726,123483,1726152629
13726,123593,1726164703
13726,123625,1726169747
13726,123628,1726169786
13726,123629,1726169808
13726,123897,1726231784
13726,123898,1726231811
13726,123899,1726231840
13726,123900,1726231864
13726,123901,1726231882
13726,123902,1726231906
13726,123903,1726231930
13726,123904,1726232063
13726,123909,1726232403
13726,123911,1726232450
13726,123912,1726232474
13726,123981,1726242705
13726,123983,1726242745
13726,123984,1726242778
13726,124111,1726262803
13726,124112,1726262834
13726,124117,1726263130
13726,124118,1726263186
13726,124121,1726263557
13726,124122,1726263733
13726,124123,1726263802
13726,124124,1726263823
13726,124125,1726263843
13726,124126,1726263868
13726,124127,1726263933
13726,124128,1726264035
13726,124129,1726264069
13726,124132,1726264220
13726,124133,1726264260
13726,124134,1726264404
13726,124144,1726264444
13726,125142,1726491815
13726,125145,1726492236
13726,125150,1726492616
13726,125158,1726493523
13726,125160,1726493647
13726,125165,1726493963
13726,125169,1726494405
13726,125170,1726494493
13726,125171,1726494510
13726,125174,1726494873
13726,125177,1726495092
13726,125187,1726495831
13726,125203,1726497957
13726,125217,1726499999
13726,125218,1726500257
13726,125220,1726500335
13726,125221,1726500386
13726,125222,1726500568
13726,125223,1726500678
13726,125224,1726500771
13726,125229,1726501182
13726,125255,1726504957
13726,125256,1726505026
13726,125259,1726505670
13726,125261,1726505767
13726,125269,1726506935
13726,125279,1726507757
13726,125285,1726509255
13726,125287,1726509501
13726,125288,1726509761
13726,125289,1726509841
13726,125302,1726510683
13726,125319,1726513401
13726,125325,1726513978
13726,125334,1726514904
13726,125342,1726516254
13726,125349,1726517386
13726,125418,1726526859
13726,125508,1726551694
13726,125637,1726580202
13726,125652,1726582330
13726,125660,1726583690
13726,125664,1726584232
13726,125676,1726585641
13726,125679,1726586814
13726,125681,1726587265
13726,125695,1726588942
13726,125739,1726594824
13726,125754,1726596656
13726,125808,1726604143
13726,125843,1726609780
13726,125846,1726609908
13726,125848,1726610034
13726,125851,1726610546
13726,125880,1726614147
13726,125891,1726615413
13726,126155,1726675870
13726,126157,1726676011
13726,126180,1726678790
13726,126184,1726678976
13726,126185,1726679144
13726,126190,1726679797
13726,126192,1726679955
13726,126194,1726680024
13726,126204,1726681777
13726,126248,1726688112
13726,126262,1726689766
13726,126266,1726690077
13726,126299,1726696860
13726,126343,1726703494
13726,126346,1726703875
13726,126350,1726704510
13726,126351,1726704753
13726,126371,1726707584
13726,126490,1726747110
13726,126538,1726752304
13726,126539,1726752373
13726,126544,1726753127
13726,126549,1726753923
13726,126559,1726755707
13726,126561,1726755812
13726,126584,1726759032
13726,126585,1726759590
13726,126597,1726760528
13726,126598,1726760563
13726,126642,1726765863
13726,126704,1726774493
13726,126718,1726775917
13726,126722,1726776277
13726,126730,1726777701
13726,126731,1726777742
13726,126811,1726793498
13726,126813,1726793666
13726,126814,1726794035
13726,126980,1726842562
13726,126997,1726844460
13726,126998,1726844628
13726,127002,1726845223
13726,127006,1726845900
13726,127007,1726846103
13726,127020,1726847809
13726,127026,1726848974
13726,127034,1726850713
13726,127044,1726852552
13726,127088,1726856028
13726,127125,1726861879
13726,127133,1726863117
13726,127135,1726863232
13726,127136,1726863239
13726,127137,1726863277
13726,127150,1726864679
13726,127155,1726865124
13726,127157,1726865195
13726,127176,1726867983
13726,127178,1726868058
13726,127245,1726880154
13726,127679,1726972398
13726,127693,1726975091
13726,127694,1726975261
13726,127695,1726975812
13726,127768,1727001742
13726,127958,1727028337
13726,127978,1727031501
13726,127981,1727032083
13726,127983,1727032157
13726,128020,1727037960
13726,128038,1727041829
13726,128048,1727043456
13726,128050,1727043545
13726,128051,1727043697
13726,128052,1727043752
13726,128205,1727089482
13726,128265,1727096292
13726,128289,1727099653
13726,128304,1727100255
13726,128311,1727100535
13726,128312,1727100670
13726,128338,1727104242
13726,128346,1727105721
13726,128352,1727106270
13726,128369,1727109296
13726,128370,1727109427
13726,128396,1727113154
13726,128403,1727113803
13726,128416,1727115523
13726,128422,1727116000
13726,128426,1727116169
13726,128428,1727116447
13726,128501,1727130174
13726,128702,1727180795
13726,128703,1727180965
13726,128714,1727183405
13726,128723,1727184350
13726,128726,1727184876
13726,128730,1727185042
13726,128733,1727185184
13726,128735,1727185282
13726,128736,1727185342
13726,128743,1727186678
13726,128880,1727207361
13726,128881,1727207442
13726,128887,1727208316
13726,129092,1727262869
13726,129131,1727270125
13726,129133,1727270327
13726,129156,1727273727
13726,129172,1727276110
13726,129224,1727285203
13726,129240,1727287452
13726,129281,1727294548
13726,129350,1727306195
13726,129354,1727306705
13726,129355,1727306759
13726,129588,1727365672
13726,129589,1727365758
13726,129593,1727366483
