inbox|conv_id|att_id|extension|mimetype
14535|208804|19237900|unknown|unknown
14535|209447|19260470|unknown|unknown
14535|210108|19283953|unknown|unknown
14535|211544|20144720|unknown|unknown
14535|212692|19404493|unknown|unknown
14535|212970|19411609|unknown|unknown
14535|213082|19415600|unknown|unknown
14535|214021|19469149|unknown|unknown
14535|215116|19532641|unknown|unknown
14535|219078|19706782|unknown|unknown
14535|219499|19727056|unknown|unknown
14535|221512|19820278|unknown|unknown
14535|222152|19841451|unknown|unknown
14535|222169|19842007|unknown|unknown
14535|222172|19842035|unknown|unknown
14535|222205|19842746|unknown|unknown
14535|222759|19865820|unknown|unknown
14535|222804|19867067|unknown|unknown
14535|223044|19881016|unknown|unknown
14535|223226|19892430|unknown|unknown
14535|223381|19902201|unknown|unknown
14535|225338|19980992|unknown|unknown
14535|228321|20087810|unknown|unknown
14535|236389|20303473|unknown|unknown
14535|246452|20522801|unknown|unknown
14535|259419|20667191|unknown|unknown
5599|93856|12599495|unknown|unknown
5608|143039|15661264|unknown|unknown
5608|145241|15801763|unknown|unknown
5608|145263|15807417|unknown|unknown
5608|158720|16510364|unknown|unknown
5608|180732|17256877|unknown|unknown
5608|181953|17365676|unknown|unknown
5608|182022|17371253|unknown|unknown
5608|182032|17371595|unknown|unknown
5608|182138|17391785|unknown|unknown
5608|182622|17552373|unknown|unknown
5608|182625|17554283|unknown|unknown
5608|184851|17973981|unknown|unknown
5871|100019|12978034|unknown|unknown
5871|100038|12978443|unknown|unknown
5871|100065|12982100|unknown|unknown
5871|100209|13001437|unknown|unknown
5871|100514|13034584|unknown|unknown
5871|100543|13037856|unknown|unknown
5871|100594|13045810|unknown|unknown
5871|100597|13046710|unknown|unknown
5871|100603|13047979|unknown|unknown
5871|100668|13058770|unknown|unknown
5871|100698|13062287|unknown|unknown
5871|100751|13068903|unknown|unknown
5871|100777|13071246|unknown|unknown
5871|100878|13083206|unknown|unknown
5871|100879|13083245|unknown|unknown
5871|100908|13087999|unknown|unknown
5871|101205|13121073|unknown|unknown
5871|101232|13123832|unknown|unknown
5871|101235|13124009|unknown|unknown
5871|101379|13136239|unknown|unknown
5871|101583|13148011|unknown|unknown
5871|101696|13157339|unknown|unknown
5871|101803|13173319|unknown|unknown
5871|101879|13185508|unknown|unknown
5871|101917|13192434|unknown|unknown
5871|102022|13204364|unknown|unknown
5871|102106|13214135|unknown|unknown
5871|102199|13226452|unknown|unknown
5871|102205|13227323|unknown|unknown
5871|102232|13229595|unknown|unknown
5871|102343|13231715|unknown|unknown
5871|102406|13238289|unknown|unknown
5871|102456|13243748|unknown|unknown
5871|102465|13244838|unknown|unknown
5871|102478|13246449|unknown|unknown
5871|102624|13256903|unknown|unknown
5871|102633|13256979|unknown|unknown
5871|102657|13257232|unknown|unknown
5871|102768|13270491|unknown|unknown
5871|102795|13278936|unknown|unknown
5871|102801|13279397|unknown|unknown
5871|102816|13280408|unknown|unknown
5871|102835|13281006|unknown|unknown
5871|102914|13282707|unknown|unknown
5871|102920|13282747|unknown|unknown
5871|102922|13282877|unknown|unknown
5871|102939|13283455|unknown|unknown
5871|102957|13285571|unknown|unknown
5871|103024|13294286|unknown|unknown
5871|103077|13303860|unknown|unknown
5871|103124|13306897|unknown|unknown
5871|103150|13307235|unknown|unknown
