chatwoot_id,evolvy_id,evolvy_inbox_id,inbox_id,inbox_name,status_anterior,status_novo,created_at
199103,94690,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 21:41:06
199104,94692,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 21:45:07
199105,94693,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 21:50:06
199106,94694,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 21:51:06
199107,94695,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 21:51:09
199108,94696,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 21:53:07
199109,94698,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 21:56:06
199110,94699,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 21:57:07
199111,94701,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 22:02:06
199112,94703,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 22:03:17
199113,94705,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 22:05:07
199114,94706,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 22:06:06
199115,94707,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 22:06:09
199117,94711,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 22:08:06
199118,94712,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 22:08:08
199119,94714,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 22:11:07
199120,94715,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 22:12:06
199124,94721,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 22:23:07
199125,94722,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 22:25:06
199126,94724,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 22:26:05
199127,94725,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 22:28:06
199128,94726,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 22:28:10
199129,94727,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 22:28:12
199130,94728,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 22:32:06
199131,94729,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 22:33:07
199132,94730,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 22:33:11
199133,94732,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 22:37:06
199134,94734,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 22:37:10
199135,94736,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 22:39:06
199137,94738,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 22:44:07
199139,94740,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 22:45:06
199140,94742,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 22:49:06
199141,94744,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 22:54:07
199142,94745,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 23:00:16
199143,94746,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 23:01:05
199146,94753,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 23:08:05
199148,94755,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 23:09:06
199149,94756,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 23:10:06
199150,94759,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 23:14:05
199151,94760,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 23:14:09
199152,94761,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 23:16:05
199154,94764,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 23:19:05
199155,94765,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 23:19:08
199157,94769,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 23:25:05
199160,94772,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 23:31:05
199162,94774,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 23:36:04
199164,94778,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 23:39:06
199167,94782,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 23:46:05
199168,94783,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 23:49:08
199169,94784,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 23:51:05
199170,94785,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 23:51:09
199171,94786,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 23:52:05
199173,94788,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 23:55:06
199174,94790,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 00:00:09
199175,94791,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 00:05:07
199178,94794,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 00:16:06
199180,94798,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 00:19:05
199181,94799,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 00:19:09
199182,94800,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 00:20:10
199183,94801,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 00:22:06
199184,94802,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 00:23:06
199186,94804,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 00:28:10
199190,94810,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 00:37:10
199191,94812,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 00:40:11
199192,94813,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 00:41:07
199193,94814,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 00:43:06
199194,94815,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 00:43:09
199196,94818,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 00:45:08
199197,94819,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 00:45:10
199198,94821,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 00:49:06
199200,94824,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 00:59:07
199201,94825,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 01:01:06
199202,94826,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 01:03:04
